こむぎ ［パン類］ 全粒粉パン,7.9,5.7,45.5,1
こむぎ ［パン類］ ぶどうパン,8.2,3.5,51.1,1
こむぎ ［パン類］ ロールパン,10.1,9,48.6,1
こむぎ ［パン類］ クロワッサン レギュラータイプ,6.5,20.4,51.5,1
こむぎ ［パン類］ クロワッサン リッチタイプ,7.9,26.8,43.9,1
こむぎ ［パン類］ くるみパン,8.2,12.6,38.7,1
こむぎ ［パン類］ イングリッシュマフィン,8.1,3.6,40.8,1
こむぎ ［パン類］ ナン,10.3,3.4,47.6,1
こむぎ ［パン類］ ベーグル,9.6,2,54.6,1
こむぎ ［うどん・そうめん類］ うどん 生,6.1,0.6,56.8,1
こむぎ ［うどん・そうめん類］ うどん ゆで,2.6,0.4,21.6,1
こむぎ ［うどん・そうめん類］ うどん 半生うどん,7.8,3.4,62.5,1
こむぎ ［うどん・そうめん類］ 干しうどん 乾,8.5,1.1,71.9,1
こむぎ ［うどん・そうめん類］ 干しうどん ゆで,3.1,0.5,25.8,1
こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,9.5,1.1,72.7,1
こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,3.5,0.4,25.8,1
こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,9.3,1.5,68.9,1
こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,3.5,0.6,25.5,1
こむぎ ［中華めん類］ 中華めん 生,8.6,1.2,55.7,1
こむぎ ［中華めん類］ 中華めん ゆで,4.9,0.6,29.2,1
こむぎ ［中華めん類］ 半生中華めん ,9.9,4,61.2,1
こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,4.9,1.7,35.6,1
こむぎ ［中華めん類］ 蒸し中華めん  ソテー,5.2,4.9,38.9,1
こむぎ ［中華めん類］ 干し中華めん 乾,11.7,1.6,70.2,1
こむぎ ［中華めん類］ 干し中華めん ゆで,4.9,0.5,27.5,1
こむぎ ［中華めん類］ 沖縄そば 生,9.2,2,54.2,1
こむぎ ［中華めん類］ 沖縄そば ゆで,5.2,0.8,28,1
こむぎ ［中華めん類］ 干し沖縄そば 乾,12,1.7,67.8,1
こむぎ ［中華めん類］ 干し沖縄そば ゆで,5.2,0.6,28.6,1
こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,10.1,16.7,63.5,1
こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,10.1,19.1,61.4,1
こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,2.3,4.4,13.4,1
こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,3.9,7.7,27.9,1
こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,8.9,19.6,65.5,1
こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,10.3,5.2,67.1,1
こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,3,0.8,18.7,1
こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,3.4,0.8,31,1
こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,8.5,1.9,75.2,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,10.9,18.5,58.6,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,2.5,4.2,13.2,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,3.8,7.7,25.2,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,10,19.1,54.6,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,2.3,4.5,12.9,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,3,5.8,20.7,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,8.2,18.6,57.5,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,5,11.3,34.2,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,9.2,5.8,62.6,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,2.5,2.1,10.2,1
こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,3.4,1.3,25.3,1
こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,10.9,19.8,56.1,1
こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,2.2,4.7,11.2,1
こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,2.7,7.2,24.4,1
こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,12.9,1.8,73.1,1
こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,5.8,0.9,32.2,1
こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,5.5,5.8,30.5,1
こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,7.8,1.9,46.9,1
こむぎ ［ふ類］ 生ふ,12.7,0.8,26.2,1
